"Rank","NCT Number","Title","Status","Study Results","Gender","Phases","Enrollment","Funded Bys","Study Type","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","URL"
24,"NCT02201823","Phase I/Ib Clinical Trial of ABTL0812 in Advanced Cancer Patients","Completed","No Results Available","All","Phase 1","27","Industry|Other","Interventional","February 2014","March 2015","April 2015","July 28, 2014","null","July 2, 2015","Hospital Clínic, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT02201823"
25,"NCT01734564","Phase II Study With Hiltonol and Dendritic Cells in Solid Tumors","Completed","No Results Available","All","Phase 2","15","Other","Interventional","November 2012","December 2016","December 2016","November 27, 2012","null","April 11, 2017","Clinica Universidad de Navarra, Pamplona, Navarra, Spain","https://ClinicalTrials.gov/show/NCT01734564"
26,"NCT01108484","Program of Exercise, Diet and Control of Psychological Stress in Cancer Survivors","Completed","No Results Available","All","Phase 3","120","Other","Interventional","March 2010","July 2015","August 2015","April 22, 2010","null","May 17, 2016","GIAFYS headquarters, Miranda de Ebro, Burgos, Spain|GIAFYS, Miranda de Ebro, Burgos, Spain","https://ClinicalTrials.gov/show/NCT01108484"
27,"NCT01380249","PDM08 Clinical Trial in Advanced Solid Tumors","Completed","No Results Available","All","Phase 1","22","Other","Interventional","June 2011","June 2012","January 2013","June 27, 2011","null","January 7, 2013","Hospital Universitario La Paz, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01380249"
28,"NCT02316327","Open-label Study in Patients With Metastatic NSLC Treated With Cisplatin, Gemcitabine and Bevacizumab","Completed","No Results Available","All","Phase 4","19","Other","Interventional","July 2013","September 2016","October 2016","December 12, 2014","null","October 5, 2016","Hospital Clinic, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT02316327"
29,"NCT00555672","Study Of Sunitinib In Combination With Cisplatin And 5-Fluorouracil In Patients With Advanced Gastric Cancer","Completed","Has Results","All","Phase 1","34","Industry","Interventional","August 2008","December 2009","August 2010","November 9, 2007","January 5, 2011","December 19, 2011","Pfizer Investigational Site, L'hospitalet de Llobregat, Barcelona, Spain|Pfizer Investigational Site, Barcelona, Spain|Pfizer Investigational Site, Madrid, Spain","https://ClinicalTrials.gov/show/NCT00555672"
30,"NCT02210364","Study of Lurbinectedin (PM01183) in Combination With Capecitabine in Patients With Metastatic Breast Cancer (MBC), Pancreatic Cancer (PC) or Metastatic Colorectal Cancer (CRC).","Completed","No Results Available","All","Phase 1","81","Industry","Interventional","April 2013","October 2016","October 2016","August 6, 2014","null","December 14, 2016","Brussels, Belgium|Barcelona, Spain","https://ClinicalTrials.gov/show/NCT02210364"
31,"NCT01090960","A Study Evaluating the Safety and Tolerability of GDC-0068 in Patients With Refractory Solid Tumors","Completed","No Results Available","All","Phase 1","52","Industry","Interventional","March 2010","February 2015","February 2015","March 23, 2010","null","July 4, 2016","Barcelona, Spain|Valencia, Spain","https://ClinicalTrials.gov/show/NCT01090960"
32,"NCT01314105","BIBF 1120 + Carboplatin/Pegylated Liposomal Doxorubicin (PLD) in Patients With Advanced Ovarian Cancer, Fallopian Tube Carcinoma or Primary Peritoneal Cancer","Completed","Has Results","Female","Phase 1","19","Industry","Interventional","March 2011","July 2013","April 2016","March 14, 2011","November 20, 2014","February 1, 2018","1199.119.34001 Boehringer Ingelheim Investigational Site, Barcelona, Spain|1199.119.34002 Boehringer Ingelheim Investigational Site, Barcelona, Spain|1199.119.34003 Boehringer Ingelheim Investigational Site, L'Hospitalet de Llobregat, Spain","https://ClinicalTrials.gov/show/NCT01314105"
33,"NCT01844661","Safety and Efficacy of Repeated Infusion of CELYVIR in Children and Adults With Metastatic and Refractory Tumors.","Completed","No Results Available","All","Phase 1|Phase 2","20","Other","Interventional","January 2013","December 2014","January 2016","May 1, 2013","null","February 19, 2016","Hospital Universitario Niño Jesús, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01844661"
34,"NCT00884845","Trial of PM02734 Administered in Combination With Erlotinib in Patients With Advanced Malignant Solid Tumors","Completed","No Results Available","All","Phase 1","35","Industry","Interventional","January 2009","June 2011","June 2011","April 21, 2009","null","March 26, 2014","Montefiore Medical Center, New York, New York, United States|Hospital Universitario Germans Trias i Pujol, Badalona, Barcelona, Spain|Intituto Universitario Dexeus, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00884845"
35,"NCT01799694","Stem Cells Treatment for the Local Urinary Incontinence After a Radical Prostate Cancer Surgery (HULPURO)","Completed","No Results Available","Male","Phase 2","10","Other","Interventional","July 2011","February 2013","February 2013","February 27, 2013","null","March 8, 2013","Hospital Universitario La Paz, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01799694"
36,"NCT00877474","Phase I, Multicenter, Open-label, Dose-escalating, Clinical and Pharmacokinetic Study of PM01183 in Patients With Advanced Solid Tumors","Completed","No Results Available","All","Phase 1","30","Industry","Interventional","March 2009","June 2011","June 2011","April 7, 2009","null","November 4, 2015","Cancer Research Center. University of Chicago Hospitals., Chicago,, Illinois, United States|Vall d'Hebron University Hospital., Barcelona, Spain","https://ClinicalTrials.gov/show/NCT00877474"
37,"NCT02020577","Trial of Afatinib (BIBW 2992) + Cetuximab in Advanced Solid Tumours","Completed","Has Results","All","Phase 1","58","Industry","Interventional","December 2013","January 2015","April 2016","December 25, 2013","February 12, 2016","June 22, 2017","1200.122.33001 Boehringer Ingelheim Investigational Site, Villejuif Cedex, France|1200.122.34001 Boehringer Ingelheim Investigational Site, Madrid, Spain","https://ClinicalTrials.gov/show/NCT02020577"
38,"NCT01495247","Phase Ib/II Trial of BEZ235 With Paclitaxel in Patients With HER2 Negative, Locally Advanced or Metastatic Breast Cancer","Completed","No Results Available","Female","Phase 1|Phase 2","18","Industry","Interventional","January 2012","May 2014","May 2014","December 19, 2011","null","July 23, 2014","Novartis Investigative Site, Dijon Cedex, France|Novartis Investigative Site, Saint-Herblain Cédex, France|Novartis Investigative Site, Hospitalet de LLobregat, Catalunya, Spain","https://ClinicalTrials.gov/show/NCT01495247"
39,"NCT00733616","Efficacy and Safety Study of Combination Therapy With Docetaxel-oxaliplatin-capecitabine in Patients With Advanced Gastric Adenocarcinoma and Intermediate General Status","Completed","No Results Available","All","Phase 2","44","Other|Industry","Interventional","November 2008","May 2012","May 2012","August 13, 2008","null","February 20, 2013","Spanish Cooperative Group for Gastrointestinal Tumour Therapy, Madrid, Spain","https://ClinicalTrials.gov/show/NCT00733616"
40,"NCT01471847","A Phase Ib/II Study of BEZ235 and Trastuzumab in Patients With HER2-positive Breast Cancer Who Failed Prior to Trastuzumab","Completed","No Results Available","Female","Phase 1","5","Industry","Interventional","February 2012","June 2012","June 2012","November 16, 2011","null","March 1, 2018","Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Leicester, United Kingdom|Novartis Investigative Site, Manchester, United Kingdom","https://ClinicalTrials.gov/show/NCT01471847"
41,"NCT01970553","Escalating Doses of PM01183 in Combination With Gemcitabine in Patients With Specific Unresectable Solid Tumors","Completed","No Results Available","All","Phase 1","47","Industry","Interventional","May 2011","October 2013","October 2013","October 28, 2013","null","April 1, 2015","Hospital Universitario Madrid Sanchinarro, Madrid, Spain|Hospital Universitario Virgen del Rocio, Seville, Spain|University College of London Hospital, London, United Kingdom","https://ClinicalTrials.gov/show/NCT01970553"
42,"NCT00879905","A Study of HSP990 Administered by Mouth in Adult Patients With Advanced Solid Tumors","Completed","No Results Available","All","Phase 1","64","Industry","Interventional","May 2009","July 2012","July 2012","April 13, 2009","null","October 19, 2012","Novartis Investigative Site, Toronto, Ontario, Canada|Novartis Investigative Site, Toulouse Cedex 3, France|Novartis Investigative Site, Barcelona, Cataluña, Spain","https://ClinicalTrials.gov/show/NCT00879905"
43,"NCT02053220","Mechanism of Action Trial of ColoAd1","Completed","No Results Available","All","Phase 1","17","Industry","Interventional","June 2013","April 2015","April 2016","February 3, 2014","null","September 9, 2016","Hospital Universitario Madrid Sanchinarro CIOCC, Madrid, Spain|Hospital Universitario Virgen del Rocío, Seville, Spain","https://ClinicalTrials.gov/show/NCT02053220"
44,"NCT01148758","A Dose-finding Study of RO5323441 in Patients With Metastatic Treatment-Refractory Colorectal or Ovarian Cancer","Completed","No Results Available","All","Phase 1","7","Industry","Interventional","May 2010","September 2010","September 2010","June 22, 2010","null","November 2, 2016","Leuven, Belgium|Barcelona, Spain|Manchester, United Kingdom","https://ClinicalTrials.gov/show/NCT01148758"
45,"NCT02045589","A Phase I Dose Escalation Study of Intratumoral VCN-01 Injections With Gemcitabine and Abraxane® in Patients With Advanced Pancreatic Cancer","Completed","No Results Available","All","Phase 1","8","Industry","Interventional","January 2014","October 2016","September 2018","January 27, 2014","null","October 1, 2018","Institut Català d'Oncologia, L'Hospitalet De Llobregat, Barcelona, Spain|Centro Integral Oncológico Clara Campal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain","https://ClinicalTrials.gov/show/NCT02045589"
46,"NCT01046240","Pharmacokinetic Evaluation of Subcutaneous Versus Intravenous Palonosetron in Cancer Treated With Chemotherapy","Completed","No Results Available","All","Phase 1|Phase 2","29","Other","Interventional","October 2009","November 2010","November 2010","January 11, 2010","null","January 27, 2015","Clinica Universidad de Navarra, Pamplona, Navarra, Spain","https://ClinicalTrials.gov/show/NCT01046240"
47,"NCT00773526","A Dose-Escalation Study of RO5126766 in Patients With Advanced Solid Tumors.","Completed","No Results Available","All","Phase 1","52","Industry","Interventional","November 2008","September 2011","September 2011","October 16, 2008","null","November 2, 2016","Villejuif, France|Barcelona, Spain|Sutton, United Kingdom","https://ClinicalTrials.gov/show/NCT00773526"
48,"NCT01548170","To Assess the Interaction Between Sunitinib and Ketoconazole to Reduce the Dose and Cost of Sunitinib","Completed","No Results Available","Male","Phase 1","12","Other","Interventional","April 2011","July 2011","July 2011","March 8, 2012","null","March 8, 2012","Hospital Universitario Ramón y Cajal, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01548170"
49,"NCT01831089","Phase I Study of Lurbinectedin (PM01183) in Combination With Paclitaxel, With or Without Bevacizumab, in Selected Advanced Solid Tumors","Completed","No Results Available","All","Phase 1","69","Industry","Interventional","September 2013","July 2016","July 2016","April 15, 2013","null","July 27, 2016","New York, New York, United States|Madrid, Spain|Bellinzona, Switzerland","https://ClinicalTrials.gov/show/NCT01831089"
50,"NCT01703910","Study of Individualized Therapies Selection for Patients With Metastatic Colorectal Carcinoma According to the Therapeutic","Completed","No Results Available","All","Phase 2","29","Other|Industry","Interventional","November 2012","November 2012","December 2014","October 11, 2012","null","October 9, 2015","Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Madrid Norte Sanchinarro, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01703910"
51,"NCT01513174","Study With Gefitinib in Combination With Olaparib (AZD2281) Versus Gefitinib Alone","Completed","No Results Available","All","Phase 1|Phase 2","186","Other","Interventional","August 2011","July 2016","July 2016","January 20, 2012","null","April 26, 2017","H. Germans Trias i Pujol, Badalona, Barcelona, Spain|ICO Hospitalet, Hospitalet, Barcelona, Spain|H. Gen. Universitario de Alicante, Alicante, Spain|H. Vall d'Hebrón, Barcelona, Spain|H. Teresa Herrera, La Coruña, Spain","https://ClinicalTrials.gov/show/NCT01513174"
52,"NCT01792310","A Phase 1/2A Study of Minerval in Adult Patients With Advanced Solid Tumours","Completed","No Results Available","All","Phase 1|Phase 2","54","Industry|Other","Interventional","May 2013","September 2016","September 2016","February 15, 2013","null","December 6, 2016","Vall D'Hebron Institute of Oncology, Barcelona, Spain|Instituto Oncológico IMQ, Clínica IMQ Zorrotzaurre, Bilbao, Spain|Onkologikoa, San Sebastián, Spain|Sir Bobby Robson Cancer Trials Research Centre, The Northern Centre for Cancer Care, Freeman Hospital, Newcastle, Newcastle upon Tyne, United Kingdom|The Royal Marsden Hospital Drug Development Unit, Sutton, Surrey, United Kingdom","https://ClinicalTrials.gov/show/NCT01792310"
53,"NCT01956734","Virus DNX2401 and Temozolomide in Recurrent Glioblastoma","Completed","No Results Available","All","Phase 1","31","Other|Industry","Interventional","September 2013","December 2015","March 2017","October 8, 2013","null","October 24, 2017","Clinica Universidad de Navarra, Pamplona, Navarra, Spain","https://ClinicalTrials.gov/show/NCT01956734"
54,"NCT02561832","A Phase I, Open-Label, 2 Part Multicentre Study to Assess the Safety and Efficacy of Olaparib in Combination With Carboplatin in Patients With Advanced HER-2 Negative Breast Cancer","Completed","No Results Available","All","Phase 1","20","Industry","Interventional","November 2015","February 2017","February 2017","September 28, 2015","null","February 15, 2017","Research Site, New York, New York, United States|Research Site, Stony Brook, New York, United States|Research Site, Barcelona, Spain|Research Site, Madrid, Spain|Research Site, Valencia, Spain|Research Site, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT02561832"
55,"NCT01156870","First in Man Study of SAR566658 Administered in Patients With CA6-Positive and Refractory Solid Tumor","Completed","No Results Available","All","Phase 1","114","Industry","Interventional","September 8, 2010","April 7, 2017","April 7, 2017","July 5, 2010","null","May 10, 2017","Investigational Site Number 840002, Cincinnati, Ohio, United States|Investigational Site Number 840001, San Antonio, Texas, United States|Investigational Site Number 250001, Toulouse Cedex, France|Investigational Site Number 724002, Madrid, Spain|Investigational Site Number 724001, Madrid, Spain","https://ClinicalTrials.gov/show/NCT01156870"
56,"NCT02082665","Effects of Dabrafenib on the Single Dose Pharmacokinetics (PK) of Rosuvastatin and Midazolam","Completed","No Results Available","All","Phase 1","6","Industry","Interventional","February 19, 2015","July 1, 2016","August 1, 2016","March 10, 2014","null","July 24, 2017","GSK Investigational Site, Lebanon, New Hampshire, United States|GSK Investigational Site, Barcelona, Spain|GSK Investigational Site, Madrid, Spain|GSK Investigational Site, Sevilla, Spain","https://ClinicalTrials.gov/show/NCT02082665"
57,"NCT01283945","Study of Oral Lucitanib (E-3810), a Dual VEGFR-FGFR Tyrosine Kinase Inhibitor, in Patients With Solid Tumors","Completed","No Results Available","All","Phase 1|Phase 2","134","Industry","Interventional","July 2010","September 2016","May 4, 2017","January 26, 2011","null","April 12, 2018","Institute Gustave Roussy, Villejuif, Paris, France|Hopital Louis Pradel, Lyon, France|European Institute of Oncology, Milano, Italy|Vall d' Hebron University Hospital, Barcellona, Spain","https://ClinicalTrials.gov/show/NCT01283945"
58,"NCT00849329","A Study to Examine the Effects of Esomeprazole on the Pharmacokinetics of Orally Administered Lapatinib in Subjects With Metastatic ErbB2 Positive Breast Cancer","Completed","No Results Available","All","Phase 1","12","Industry","Interventional","March 10, 2009","November 24, 2009","November 24, 2009","February 23, 2009","null","November 14, 2017","GSK Investigational Site, Greenville, South Carolina, United States|GSK Investigational Site, Seoul, Korea, Republic of|GSK Investigational Site, Songpa-gu, Seoul, Korea, Republic of|GSK Investigational Site, Hospitalet de Llobregat (Barcelona), Spain","https://ClinicalTrials.gov/show/NCT00849329"
59,"NCT00721266","A Dose-Escalation Study of RO5083945 in Patients With Metastatic and/or Locally Advanced Malignant Epidermal Growth Factor Receptor (EGFR)+ Solid Tumors.","Completed","No Results Available","All","Phase 1","102","Industry","Interventional","June 2008","June 2011","June 2011","July 24, 2008","null","November 2, 2016","Toulouse, France|Villejuif, France|Barcelona, Spain|Sevilla, Spain|Valencia, Spain","https://ClinicalTrials.gov/show/NCT00721266"
60,"NCT02382263","Nab-paclitaxel in Combination With Gemcitabine in Fragile Patients With Advanced Pancreatic Cancer","Completed","No Results Available","All","Phase 1|Phase 2","224","Other","Interventional","April 2013","April 2016","April 2016","March 6, 2015","null","July 6, 2016","Complexo Hospitalario Universitario de Santiago, Santiago de Compostela, A Cosuña, Spain|Hospital Universitario Marqués de Valdecilla, Santander, Cantabria, Spain|Hospital Universitario Donostia, Donostia, Gipuzkoa, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Complexo Hospitalario Universitario A Coruña, A Coruña, Spain|Hospital Universitari Vall D'Hebron, Barcelona, Spain|Complejo Hospitalario Regional Virgen de Las Nieves, Granada, Spain|Complejo Hospitalario Gregorio Marañón, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario Madrid Sanchinarro, Madrid, Spain|Complejo Hospitalario Regional de Málaga, Málaga, Spain|Hospital Universitari I Politècnic La Fe, Valencia, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT02382263"
61,"NCT02028442","Phase I / II Study of Enadenotucirev by Sub-acute Fractionated IV Dosing in Cancer Patients","Completed","No Results Available","All","Phase 1|Phase 2","61","Industry","Interventional","September 20, 2012","April 29, 2016","April 29, 2016","January 7, 2014","null","March 22, 2018","GZA ziekenhuizen campus Sint-Augustinus, Wilrijk, Antwerp, Belgium|Cliniques Universitaires St Luc, Bruxelles, Belgium|Ghent University Hospital, Ghent, Belgium|Institut Catala d Oncologica, Barcelona, Spain|START - Hospital Universitario Madrid Sanchinarrio, Madrid, Spain|Hospital Universitario Virgen del Rocio (HUVR), Seville, Spain","https://ClinicalTrials.gov/show/NCT02028442"
62,"NCT01332604","GDC-0980 in Combination With a Fluoropyrimidine, Oxaliplatin, and Bevacizumab in Patients With Advanced Solid Tumors","Completed","No Results Available","All","Phase 1","41","Industry","Interventional","July 2011","June 2015","June 2015","April 11, 2011","null","November 2, 2016","Los Angeles, California, United States|Aurora, Colorado, United States|Rochester, Minnesota, United States|Barcelona, Spain","https://ClinicalTrials.gov/show/NCT01332604"
