"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","Multicentric"
"28",28,"No Results Available","Female","Phase 2|Phase 3","Industry","August 2011",2012-11-01,2012-11-01,NA,NA," Indonesia","0"
"29",29,"Has Results","All","Phase 1|Phase 2","NIH|Other","October 2009",2011-12-01,2017-08-01,2013-03-11,466,"Multicentric","1"
"30",30,"No Results Available","All","Phase 2|Phase 3","Other","March 2010",2015-12-01,2018-01-01,NA,NA,"Multicentric","1"
"31",31,"Has Results","All","Phase 1|Phase 2","Industry","March 2010",2015-02-01,2015-05-01,2017-07-12,892,"Multicentric","1"
"32",32,"Has Results","Female","Phase 1|Phase 2","Industry|Other","December 2009",2013-07-01,2014-10-01,2015-01-06,554,"Multicentric","1"
"33",33,"No Results Available","Male","Phase 1|Phase 2","Industry","April 2008",2013-01-01,2013-02-01,NA,NA,"Multicentric","1"
"34",34,"No Results Available","All","Phase 1|Phase 2","Other","April 2015",2016-06-01,2016-06-01,NA,NA," China","0"
"35",35,"No Results Available","Female","Phase 1|Phase 2","Industry","June 2010",2013-04-01,2013-04-01,NA,NA,"Multicentric","1"
"36",36,"No Results Available","All","Phase 1|Phase 2","Industry","September 2011",2015-06-22,2016-06-22,NA,NA,"Multicentric","1"
"37",37,"No Results Available","All","Phase 2|Phase 3","Other","January 2010",2014-12-01,2014-12-01,NA,NA," China","0"
"38",38,"No Results Available","All","Phase 1|Phase 2","Industry","January 1, 2011",2013-02-11,2013-08-01,NA,NA,"Multicentric","1"
"39",39,"Has Results","All","Phase 1|Phase 2","Industry","August 2009",2010-10-01,2010-12-01,2013-12-02,1158,"Multicentric","1"
"40",40,"No Results Available","All","Phase 1|Phase 2","Industry","March 2014",2015-10-01,2015-12-01,NA,NA," China","0"
"41",41,"Has Results","Male","Phase 1|Phase 2","NIH|Other","June 2009",2016-06-01,2016-06-01,2017-08-14,439," United States","0"
"42",42,"No Results Available","All","Phase 1|Phase 2","Industry|Other","May 2010",2012-02-01,2014-02-01,NA,NA," Canada","0"
"43",43,"No Results Available","Female","Phase 1|Phase 2","Other","May 2008",2010-06-01,2010-06-01,NA,NA,"Multicentric","1"
"44",44,"No Results Available","All","Phase 1|Phase 2","Industry","April 2010",2015-05-09,2016-07-20,NA,NA,"Multicentric","1"
"45",45,"No Results Available","Female","Phase 2|Phase 3","Other","May 2011",2016-08-01,2016-08-01,NA,NA," China","0"
"46",46,"Has Results","All","Phase 1|Phase 2","Other","May 2012",2015-03-01,2015-07-01,2016-02-10,346,"Multicentric","1"
"47",47,"No Results Available","Female","Phase 1|Phase 2","Industry","June 2008",2010-11-01,2011-06-01,NA,NA,"Multicentric","1"
"48",48,"No Results Available","All","Phase 1|Phase 2","Other","March 2009",2013-05-01,2016-09-01,NA,NA,"Multicentric","1"
"49",49,"No Results Available","All","Phase 1|Phase 2","Industry","October 2012",2016-04-01,2016-04-01,NA,NA,"Multicentric","1"
"50",50,"No Results Available","All","Phase 1|Phase 2","Other","January 2008",2011-06-01,2011-08-01,NA,NA," Republic of","0"
"51",51,"No Results Available","All","Phase 1|Phase 2","Other","June 1, 2013",2016-05-30,2017-06-13,NA,NA," China","0"
"52",52,"No Results Available","All","Phase 1|Phase 2","NIH|Other","January 2013",2014-10-01,2014-10-01,NA,NA,"Multicentric","1"
"53",53,"Has Results","All","Phase 2","Industry|Other","October 2008",2014-09-01,2014-09-01,2017-04-04,946," United States","0"
"54",54,"No Results Available","Female","Phase 1|Phase 2","Industry","June 2009",2012-07-01,2012-10-01,NA,NA,"Multicentric","1"
"55",55,"Has Results","All","Phase 1|Phase 2","Industry","April 29, 2008",2009-10-01,2018-06-07,2018-05-08,3141,"Multicentric","1"
"56",56,"No Results Available","Male","Phase 1|Phase 2","Industry|Other","May 2010",2016-04-01,2016-04-01,NA,NA," Canada","0"
"57",57,"No Results Available","All","Phase 1|Phase 2","Other","September 2013",2017-10-01,2017-10-01,NA,NA," United States","0"
"58",58,"No Results Available","Male","Phase 1|Phase 2","Other","January 2009",2011-12-01,2014-10-01,NA,NA,"Multicentric","1"
"59",59,"Has Results","All","Phase 1|Phase 2","Industry|Other","April 2009",2013-08-01,2014-09-01,2015-04-22,629," United States","0"
"60",60,"Has Results","All","Phase 1|Phase 2","Industry","February 2009",2013-02-01,2013-12-01,2018-04-17,1901,"Multicentric","1"
"61",61,"Has Results","All","Phase 1|Phase 2","NIH|Other","September 2010",2013-08-01,2013-09-03,2017-06-27,1426,"Multicentric","1"
"62",62,"No Results Available","Male","Phase 1|Phase 2","Industry","July 2008",2011-03-01,2011-03-01,NA,NA,"Multicentric","1"
"63",63,"No Results Available","Female","Phase 2","Industry","March 2009",2013-04-01,2014-04-01,NA,NA,"Multicentric","1"
"64",64,"No Results Available","Female","Phase 1|Phase 2","Other","April 2008",2016-03-01,2016-03-01,NA,NA,"Multicentric","1"
"65",65,"Has Results","Male","Phase 1|Phase 2","NIH","February 23, 2010",2014-04-01,2015-04-17,2015-02-13,318," United States","0"
"66",66,"No Results Available","Female","Phase 1|Phase 2","Industry|Other","November 2012",2015-01-01,2015-02-01,NA,NA," Denmark","0"
"67",67,"No Results Available","Female","Phase 1|Phase 2","Other","October 2010",2011-07-01,2011-07-01,NA,NA," Sweden","0"
"68",68,"No Results Available","Female","Phase 1","NIH|Other","June 2008",2010-12-01,2010-12-01,NA,NA,"Multicentric","1"
"69",69,"No Results Available","All","Phase 1|Phase 2","Other","April 2013",2016-04-01,2016-04-01,NA,NA,"Multicentric","1"
"70",70,"No Results Available","All","Phase 1|Phase 2","Industry","July 2009",2013-10-01,2014-01-01,NA,NA,"Multicentric","1"
"71",71,"No Results Available","Female","Phase 1|Phase 2","Other","October 2008",2016-06-04,2016-06-04,NA,NA,"Multicentric","1"
"72",72,"No Results Available","All","Phase 1|Phase 2","Other","October 2009",2013-08-01,2013-12-01,NA,NA," Republic of","0"
"73",73,"Has Results","All","Phase 1|Phase 2","Industry","June 2009",2012-04-01,2015-02-01,2014-09-29,911,"Multicentric","1"
"74",74,"No Results Available","Male","Phase 1|Phase 2","Industry","January 2009",2009-12-01,2013-09-01,NA,NA,"Multicentric","1"
"75",75,"Has Results","Female","Phase 1|Phase 2","Industry|Other","June 2009",2013-07-01,2014-09-01,2014-12-17,534,"Multicentric","1"
"76",76,"No Results Available","Female","Phase 2|Phase 3","Other","March 2008",2010-12-01,2011-11-01,NA,NA," Denmark","0"
"77",77,"Has Results","All","Phase 1|Phase 2","Industry","June 2011",2015-11-01,2016-12-01,2018-05-16,927,"Multicentric","1"
"78",78,"No Results Available","All","Phase 1","Industry","September 2011",2013-01-01,2013-07-01,NA,NA,"Multicentric","1"
"79",79,"No Results Available","Female","Phase 1|Phase 2","Industry","May 2014",2017-09-07,2017-09-07,NA,NA,"Multicentric","1"
"80",80,"Has Results","All","Phase 1|Phase 2","Industry|Other","March 2008",2010-01-01,2012-10-01,2014-04-04,1554,"Multicentric","1"
"81",81,"No Results Available","All","Phase 2","Other","August 2014",2016-05-01,2016-05-01,NA,NA," Taiwan","0"
"82",82,"Has Results","All","Phase 1|Phase 2","Industry","September 2012",2013-08-01,2013-08-01,2015-07-17,715," Sweden","0"
"83",84,"Has Results","Female","Phase 1|Phase 2","Industry","November 2012",2015-07-01,2015-11-01,2018-04-02,1006,"Multicentric","1"
"84",85,"Has Results","All","Phase 1","Industry","April 2014",2015-02-01,2015-08-01,2018-08-02,1278,"Multicentric","1"
"85",86,"No Results Available","All","Phase 1|Phase 2","Industry","January 2008",2013-07-01,2013-12-01,NA,NA,"Multicentric","1"
"86",87,"Has Results","Female","Phase 3","NIH|Other","October 2010",2014-12-01,2014-12-01,2018-06-25,1302,"Multicentric","1"
"87",88,"No Results Available","All","Phase 1|Phase 2","Other","December 2008",2013-01-01,2013-06-01,NA,NA," India","0"
"88",89,"Has Results","Male","Phase 2|Phase 3","Other","July 2012",2013-05-01,2013-05-01,2014-02-10,285," Canada","0"
"89",90,"No Results Available","Female","Phase 1|Phase 2","Industry|Other","November 2008",2011-11-01,NA,NA,NA," France","0"
"90",91,"Has Results","All","Phase 1|Phase 2","Industry","December 9, 2008",2010-11-01,2018-06-01,2017-11-09,2565,"Multicentric","1"
"91",92,"No Results Available","All","Phase 1|Phase 2","Industry","February 2011",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"92",93,"No Results Available","All","Phase 4","Industry|Other","October 2011",2013-07-01,2014-05-01,NA,NA," United States","0"
"93",94,"Has Results","Female","Phase 2|Phase 3","Industry","August 2012",2015-06-01,2015-06-01,2017-01-27,606,"Multicentric","1"
"94",95,"No Results Available","All","Phase 1","Industry","June 2010",2011-11-01,2011-11-01,NA,NA,"Multicentric","1"
"95",96,"Has Results","Male","Phase 1|Phase 2","NIH","September 10, 2008",2011-04-19,2011-04-19,2012-08-17,486," United States","0"
"96",97,"No Results Available","All","Phase 1|Phase 2","Other","September 2010",2016-07-01,2016-07-01,NA,NA," Canada","0"
"97",98,"Has Results","Female","Phase 4","Industry","June 2013",2015-07-01,2015-07-01,2016-10-07,464,"Multicentric","1"
"98",99,"Has Results","Male","Phase 1|Phase 2","Industry","August 20, 2012",2013-09-12,2016-09-01,2018-03-20,1650," United States","0"
"99",100,"Has Results","All","Phase 1|Phase 2","Industry","July 2013",2016-11-28,2016-11-28,2018-07-11,590,"Multicentric","1"
"100",101,"No Results Available","All","Phase 1","Other","October 2011",2012-06-01,2013-02-01,NA,NA," United States","0"
"101",102,"No Results Available","All","Phase 1|Phase 2","Industry|Other","April 2013",2014-06-01,2014-06-01,NA,NA," Sweden","0"
"102",104,"Has Results","Female","Phase 1","Industry|Other","April 2009",2015-06-01,2015-09-01,2017-02-23,633," United States","0"
"103",105,"No Results Available","Female","Phase 1|Phase 2","Other","July 2008",2016-11-01,2016-11-01,NA,NA," United States","0"
"104",106,"Has Results","All","Phase 1|Phase 2","Industry|Other","March 2009",2013-06-01,2014-08-01,2014-12-22,569,"Multicentric","1"
"105",107,"No Results Available","All","Phase 1","Industry","November 2015",2017-02-01,2017-02-01,NA,NA,"Multicentric","1"
"106",108,"No Results Available","All","Phase 1","Industry","January 2008",2010-05-01,2010-05-01,NA,NA,"Multicentric","1"
"107",109,"Has Results","All","Phase 1|Phase 2","NIH|Other","September 2013",2014-07-09,2015-04-01,2016-03-01,601,"Multicentric","1"
"108",110,"No Results Available","Female","Phase 1|Phase 2","Industry","April 2008",2009-11-01,2010-04-01,NA,NA,"Multicentric","1"
"109",111,"No Results Available","Female","Phase 2","Other","May 2010",2012-07-24,2017-10-06,NA,NA,"Multicentric","1"
"110",112,"No Results Available","All","Phase 1|Phase 2","Industry","May 2009",2013-07-01,2013-07-01,NA,NA,"Multicentric","1"
"111",113,"No Results Available","All","Phase 1|Phase 2","Industry|Other","November 2012",2015-05-01,2015-09-01,NA,NA," Canada","0"
"112",114,"No Results Available","All","Phase 2|Phase 3","Other","March 2009",2012-05-01,2012-05-01,NA,NA," Canada","0"
"113",115,"Has Results","All","Phase 1","Other","November 2012",2014-09-01,2015-08-01,2016-04-11,588,"Multicentric","1"
"114",116,"No Results Available","All","Phase 1|Phase 2","Industry|Other","August 2013",2016-06-01,2016-10-01,NA,NA," Republic of","0"
"115",117,"No Results Available","All","Phase 1","Other","February 19, 2009",2015-01-08,2015-01-08,NA,NA," United States","0"
"116",118,"No Results Available","All","Phase 1","Other","January 2009",2014-11-01,2014-11-01,NA,NA," United States","0"
"117",119,"No Results Available","All","Phase 1","Other","May 2014",2014-11-01,2014-11-01,NA,NA," United States","0"
"118",120,"No Results Available","Female","Phase 1|Phase 2","Industry","January 2012",2014-05-01,2014-05-01,NA,NA,"Multicentric","1"
"119",121,"No Results Available","All","Phase 1|Phase 2","Other","February 2014",2015-02-01,2015-02-01,NA,NA," China","0"
"120",122,"No Results Available","Female","Phase 1|Phase 2","Industry|NIH","April 2010",2011-04-01,2011-08-01,NA,NA," United States","0"
"121",123,"Has Results","Female","Phase 1","Industry","October 2011",2013-08-01,2013-12-01,2015-03-30,606,"Multicentric","1"
"122",124,"No Results Available","All","Phase 1|Phase 2","Other","April 2012",2016-09-01,2017-12-01,NA,NA,"Multicentric","1"
"123",125,"No Results Available","All","Phase 1|Phase 2","Other","June 2012",2015-02-01,2015-04-01,NA,NA," Spain","0"
"124",126,"No Results Available","All","Phase 2|Phase 3","Other","September 2009",2012-07-01,2013-07-01,NA,NA,"Multicentric","1"
"125",127,"No Results Available","All","Phase 1|Phase 2","Industry","March 7, 2014",2017-07-27,2017-07-27,NA,NA,"Multicentric","1"
"126",128,"Has Results","All","Phase 2","Industry","August 2011",2012-11-01,2014-07-01,2016-06-20,1327,"Multicentric","1"
"127",129,"No Results Available","All","Phase 2","Industry|Other","May 2009",2017-07-01,2017-07-01,NA,NA,"Multicentric","1"
"128",130,"No Results Available","All","Phase 1|Phase 2","Industry","October 2012",2016-12-01,2017-05-16,NA,NA,"Multicentric","1"
"129",131,"Has Results","Female","Phase 3","Industry","March 2011",2014-03-01,2014-03-01,2015-04-24,419,"Multicentric","1"
"130",132,"Has Results","All","Phase 1|Phase 2","Industry","April 2010",2016-07-01,2016-07-01,2017-11-07,494,"Multicentric","1"
"131",133,"No Results Available","Female","Phase 2","Industry","January 2008",2011-06-01,2012-01-01,NA,NA,"Multicentric","1"
"132",134,"No Results Available","Female","Phase 1","Other","August 2008",2011-06-01,2011-06-01,NA,NA," United States","0"
"133",135,"No Results Available","Female","Phase 2","Industry","November 2009",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"134",136,"Has Results","Female","Phase 2","Industry","November 2011",2013-09-01,2014-06-01,2014-08-19,352,"Multicentric","1"
"135",137,"No Results Available","All","Phase 1|Phase 2","Industry|Other","June 2010",2013-03-01,2013-03-01,NA,NA,"Multicentric","1"
"136",138,"No Results Available","All","Phase 1|Phase 2","Other","November 22, 2011",2017-10-31,2017-10-31,NA,NA,"Multicentric","1"
"137",139,"No Results Available","All","Phase 1","Industry","February 2014",2017-03-27,2018-03-20,NA,NA,"Multicentric","1"
"138",140,"No Results Available","All","Phase 1|Phase 2","Industry","August 2010",2012-10-01,2012-10-01,NA,NA," Republic of","0"
"139",141,"Has Results","Male","Phase 1|Phase 2","Other","July 2009",2012-07-01,2012-08-01,2017-11-06,1954,"Multicentric","1"
"140",142,"No Results Available","All","Phase 1","Industry","November 2013",2017-06-15,2017-06-15,NA,NA,"Multicentric","1"
"141",143,"No Results Available","All","Phase 1","NIH|Other","May 2008",2009-08-01,2010-12-01,NA,NA,"Multicentric","1"
"142",144,"Has Results","All","Phase 1|Phase 2","Industry|Other","August 2012",2016-06-12,2016-06-12,2017-07-11,394,"Multicentric","1"
"143",145,"No Results Available","All","Phase 1","Industry","September 2013",2017-10-01,2017-11-01,NA,NA,"Multicentric","1"
"144",146,"No Results Available","All","Phase 2","Other","April 2012",2014-04-01,2015-04-01,NA,NA,"Multicentric","1"
"145",147,"No Results Available","Female","Phase 1|Phase 2","Other","January 2013",2014-09-01,2014-09-01,NA,NA," Belgium","0"
"146",148,"No Results Available","All","Phase 1|Phase 2","Industry","April 2011",2014-11-01,NA,NA,NA," Sweden","0"
"147",149,"No Results Available","Female","Phase 4","Other","October 2010",2014-07-01,2014-12-01,NA,NA," China","0"
"148",150,"Has Results","All","Phase 1","Other","July 2012",2015-01-01,2017-03-01,2018-09-19,1357," United States","0"
"149",151,"No Results Available","Female","Phase 2|Phase 3","Other","April 2009",2011-09-01,2011-09-01,NA,NA," Italy","0"
"150",152,"No Results Available","Female","Phase 1","NIH|Other","March 2008",2011-11-01,2013-03-01,NA,NA," United States","0"
"151",153,"Has Results","Female","Phase 2","Industry","March 2008",2011-01-01,2011-01-01,2012-01-09,373,"Multicentric","1"
"152",154,"No Results Available","All","Phase 2","Industry","March 2011",2013-10-01,2017-07-01,NA,NA,"Multicentric","1"
"153",155,"No Results Available","All","Phase 1|Phase 2","Industry|Other","July 2009",2011-07-01,2012-04-01,NA,NA," United States","0"
"154",157,"No Results Available","Male","Phase 1|Phase 2","Other","July 2010",2014-09-01,2015-10-01,NA,NA,"Multicentric","1"
"155",158,"No Results Available","Female","Phase 1","Other","July 2010",2012-12-01,2014-08-01,NA,NA," United States","0"
"156",159,"No Results Available","All","Phase 1|Phase 2","Industry","May 2013",2017-05-08,2017-05-08,NA,NA,"Multicentric","1"
"157",160,"No Results Available","All","Phase 1|Phase 2","Industry","September 2010",2013-10-01,2013-11-23,NA,NA,"Multicentric","1"
"158",162,"No Results Available","All","Phase 1|Phase 2","Industry","January 2012",2017-03-01,2017-03-01,NA,NA,"Multicentric","1"
"159",163,"No Results Available","All","Phase 1","Industry","July 2008",2011-09-01,2012-03-01,NA,NA,"Multicentric","1"
"160",164,"No Results Available","Male","Phase 2","Other","May 2009",2011-10-01,2017-12-01,NA,NA," United States","0"
"161",165,"No Results Available","All","Phase 1|Phase 2","Industry|Other","July 8, 2010",2016-03-01,2016-05-01,NA,NA," Netherlands","0"
"162",166,"Has Results","Female","Phase 2","Other","September 2008",2014-05-15,2014-05-15,2014-08-08,85,"Multicentric","1"
"163",167,"Has Results","Female","Phase 2","Other","February 2008",2012-08-01,2015-12-01,2017-08-22,1847,"Multicentric","1"
"164",168,"No Results Available","All","Phase 1|Phase 2","Industry|Other","June 2009",2012-12-01,2012-12-01,NA,NA,"Multicentric","1"
"165",169,"No Results Available","All","Phase 1|Phase 2","Other","October 2012",2013-02-01,2013-02-01,NA,NA," France","0"
"166",170,"No Results Available","Female","Phase 1|Phase 2","Industry","February 2013",2015-12-01,2016-06-01,NA,NA,"Multicentric","1"
"167",171,"No Results Available","All","Phase 1|Phase 2","Other","September 2009",2010-03-01,2010-10-01,NA,NA," China","0"
"168",172,"No Results Available","Female","Phase 2","Industry","September 2012",2016-08-01,2016-08-01,NA,NA,"Multicentric","1"
"169",173,"No Results Available","Female","Phase 2","Industry|Other","October 2009",2011-01-01,2011-06-01,NA,NA," Taiwan","0"
"170",174,"Has Results","All","Phase 2","Other","April 2012",2015-03-01,2017-05-16,2015-07-24,145,"Multicentric","1"
"171",175,"No Results Available","Male","Phase 1|Phase 2","Other","December 2015",2016-10-01,2017-10-01,NA,NA," United States","0"
"172",176,"No Results Available","Female","Phase 1|Phase 2","Other","October 2011",2013-11-01,2014-04-01,NA,NA,"Multicentric","1"
"173",177,"No Results Available","All","Phase 2|Phase 3","Other","July 2009",2010-08-01,2012-12-01,NA,NA,"Multicentric","1"
"174",178,"No Results Available","Male","Phase 1|Phase 2","Industry|Other","February 17, 2010",2016-02-17,2017-02-17,NA,NA,"Multicentric","1"
"175",179,"No Results Available","Female","Phase 2","Other","January 30, 2013",2017-09-22,2017-12-01,NA,NA,"Multicentric","1"
"176",180,"Has Results","All","Phase 1|Phase 2","Industry","May 2009",2011-08-01,2011-08-01,2013-07-18,717,"Multicentric","1"
"177",181,"No Results Available","All","Phase 1|Phase 2","Industry","June 2013",2016-02-01,2016-03-01,NA,NA,"Multicentric","1"
"178",182,"No Results Available","Female","Phase 1|Phase 2","Industry|Other","November 2011",2016-01-01,2016-08-01,NA,NA," Denmark","0"
"179",183,"No Results Available","All","Phase 1|Phase 2","Other","December 2009",2014-03-01,2015-02-01,NA,NA,"Multicentric","1"
"180",184,"Has Results","All","Phase 1|Phase 2","Industry","August 2009",2012-02-01,2013-06-01,2016-06-24,1605,"Multicentric","1"
"181",185,"No Results Available","Female","Phase 2","Other","June 7, 2016",2017-02-15,2017-03-15,NA,NA," Republic of","0"
"182",186,"No Results Available","Female","Phase 1|Phase 2","Other","December 2014",2017-08-04,2017-08-04,NA,NA,"Multicentric","1"
"183",187,"No Results Available","All","Phase 3","Other","May 2012",2015-11-01,2016-01-01,NA,NA," Mexico","0"
"184",188,"No Results Available","All","Phase 1|Phase 2","Other","August 2009",2010-08-01,2011-08-01,NA,NA," Netherlands","0"
"185",189,"No Results Available","All","Phase 1|Phase 2","Industry|Other","September 2009",2014-12-01,2014-12-01,NA,NA," United States","0"
"186",190,"No Results Available","All","Phase 1|Phase 2","Other","November 2011",2015-08-01,2016-08-01,NA,NA,"Multicentric","1"
"187",191,"No Results Available","All","Phase 2","Other","August 11, 2010",2015-10-20,2015-10-20,NA,NA," Singapore","0"
"188",192,"No Results Available","Female","Phase 1|Phase 2","Other","September 2008",2011-05-01,NA,NA,NA," France","0"
"189",194,"No Results Available","All","Phase 2","Other","April 2010",2012-03-01,2013-03-01,NA,NA," Republic of","0"
"190",195,"No Results Available","Female","Phase 2","Other","May 2010",2014-04-01,2015-02-01,NA,NA,"Multicentric","1"
"191",196,"No Results Available","All","Phase 1|Phase 2","Industry","September 2011",2014-02-01,2015-05-01,NA,NA,"Multicentric","1"
"192",197,"No Results Available","All","Phase 1|Phase 2","Other","March 2014",2015-05-01,2015-05-01,NA,NA," China","0"
"193",198,"No Results Available","Female","Phase 2","Other","March 2008",2011-05-01,NA,NA,NA," France","0"
"194",199,"No Results Available","All","Phase 1|Phase 2","Other","March 2014",2014-10-01,2014-12-01,NA,NA," China","0"
"195",200,"No Results Available","Female","Phase 1|Phase 2","Other","July 2008",2013-12-01,2014-03-01,NA,NA," Mexico","0"
"196",201,"No Results Available","Female","Phase 1|Phase 2","Other","October 2012",2014-10-01,2017-04-01,NA,NA,"Multicentric","1"
"197",202,"No Results Available","All","Phase 1","Industry","August 2010",2013-12-01,2014-03-01,NA,NA," United States","0"
"198",204,"No Results Available","Female","Phase 1","NIH|Other","August 2009",2011-03-01,2011-03-01,NA,NA," United States","0"
"199",205,"No Results Available","Male","Phase 2","Other","October 2011",2015-03-01,2015-12-01,NA,NA,"Multicentric","1"
"200",206,"No Results Available","All","Phase 1","Industry|Other","July 2012",2014-10-01,2016-05-01,NA,NA," Germany","0"
"201",207,"No Results Available","Male","Phase 2","Other","January 2013",2015-12-01,2018-05-31,NA,NA," France","0"
"202",208,"No Results Available","All","Phase 1","Other","February 2010",2013-05-01,2013-05-01,NA,NA," United States","0"
"203",209,"No Results Available","All","Phase 2|Phase 3","Other","March 2008",2011-09-01,2012-12-01,NA,NA,"Multicentric","1"
"204",210,"Has Results","All","Phase 1|Phase 2","Industry","July 2009",2013-10-01,2013-10-01,2017-04-06,1283,"Multicentric","1"
"205",211,"No Results Available","All","Phase 1|Phase 2","Industry|Other","August 2010",2016-11-01,2016-11-01,NA,NA," United States","0"
"206",212,"No Results Available","Female","Phase 2","Other","September 2012",2017-07-01,2017-07-01,NA,NA," China","0"
"207",213,"No Results Available","Male","Phase 2","Other","October 2011",2015-08-01,2015-08-01,NA,NA,"Multicentric","1"
"208",214,"No Results Available","All","Phase 1","Industry","March 2010",2012-07-01,2012-07-01,NA,NA,"Multicentric","1"
"209",215,"Has Results","Male","Phase 1|Phase 2","Industry|Other","June 2009",2015-03-01,2015-07-01,2017-12-04,1009,"Multicentric","1"
"210",216,"No Results Available","All","Phase 2|Phase 3","Industry|Other","March 2008",2011-04-01,2011-06-01,NA,NA,"Multicentric","1"
"211",217,"No Results Available","All","Phase 3","Industry|Other","December 2014",2017-01-01,2017-01-17,NA,NA,"Multicentric","1"
"212",218,"No Results Available","Female","Phase 3","Industry","April 29, 2013",2016-05-05,2017-01-27,NA,NA,"Multicentric","1"
"213",219,"Has Results","All","Phase 1|Phase 2","Industry","February 2013",2015-07-01,2016-02-01,2016-08-12,408,"Multicentric","1"
"214",220,"No Results Available","All","Phase 1","Industry|Other","November 2008",2013-08-01,2015-02-01,NA,NA," United States","0"
"215",221,"No Results Available","All","Phase 1","Industry","December 2013",2015-03-01,2015-03-01,NA,NA," Australia","0"
"216",222,"Has Results","All","Phase 1|Phase 2","Industry|Other","February 2009",2014-06-01,2014-06-01,2015-10-21,507," United States","0"
"217",223,"No Results Available","Male","Phase 1","Industry|Other","October 2010",2011-11-01,2013-08-01,NA,NA," United States","0"
"218",224,"Has Results","All","Phase 1|Phase 2","Industry","October 2009",2015-04-01,2015-04-01,2016-03-30,364,"Multicentric","1"
"219",225,"No Results Available","Female","Phase 3","Other","January 2011",2014-03-01,2014-03-01,NA,NA," China","0"
